sensor,n,n_missing,missing_rate,n_zero,zero_rate,n_unique,mean,median,std,min,p01,p05,p95,p99,max,longest_nan_run,longest_zero_run,n_nan_runs,n_zero_runs,n_zero_runs_ge_1h,n_zero_runs_ge_6h,n_zero_runs_ge_1day,status
A042,13248,0,0.0,17,0.0012832125603864735,468,167.04883756038646,157.0,117.95657872844707,0.0,4.0,11.0,360.0,410.0,507.0,0,1,0,17,0,0,0,usable
A094,13248,0,0.0,16,0.0012077294685990338,912,413.4963013285024,418.0,251.2952348772228,0.0,33.0,51.0,783.6499999999996,869.0,972.0,0,11,0,3,1,0,0,usable
A076,13248,0,0.0,16,0.0012077294685990338,387,149.7493206521739,139.0,101.06671136426031,0.0,5.0,13.0,305.0,340.0,490.0,0,2,0,14,0,0,0,usable
A144,13248,0,0.0,15,0.0011322463768115942,494,194.91077898550725,200.0,126.74720736143743,0.0,9.0,18.0,381.0,429.0,602.0,0,15,0,1,1,0,0,usable
A099,13248,0,0.0,15,0.0011322463768115942,223,81.31083937198068,82.0,52.61213869181469,0.0,2.0,6.0,162.0,187.0,271.0,0,6,0,10,1,0,0,usable
A005,13248,0,0.0,15,0.0011322463768115942,268,98.66085446859903,92.0,70.02194612200321,0.0,2.0,6.0,212.0,238.0,473.0,0,3,0,13,0,0,0,usable
A014,13248,0,0.0,14,0.0010567632850241545,415,156.0930706521739,162.0,101.3738093493774,0.0,5.0,11.0,306.0,345.0,593.0,0,7,0,8,1,0,0,usable
A023,13248,0,0.0,13,0.000981280193236715,478,251.94368961352657,289.0,125.09610648059913,0.0,25.0,42.0,405.0,434.0,687.0,0,9,0,2,1,0,0,usable
A016,13248,0,0.0,13,0.000981280193236715,235,85.6929347826087,87.0,55.90836309256035,0.0,3.0,7.0,167.0,188.0,579.0,0,6,0,8,1,0,0,usable
A036,13248,0,0.0,12,0.0009057971014492754,760,348.19255736714973,384.0,204.8447905676484,0.0,20.0,35.0,629.6499999999996,699.0,917.0,0,10,0,2,1,0,0,usable
A048,13248,0,0.0,12,0.0009057971014492754,248,86.64379528985508,92.0,56.33994302614878,0.0,3.0,7.0,171.0,204.0,256.0,0,6,0,7,1,0,0,usable
A098,13248,0,0.0,12,0.0009057971014492754,1200,400.28275966183577,377.0,299.3870022151354,0.0,11.0,24.0,824.0,1374.590000000002,2036.0,0,6,0,7,1,0,0,usable
A084,13248,0,0.0,10,0.0007548309178743961,478,157.32842693236714,157.5,100.934782420574,0.0,6.0,14.0,304.0,380.0,1034.0,0,5,0,5,0,0,0,usable
A104,13248,0,0.0,10,0.0007548309178743961,641,248.69550120772948,243.0,168.3990338240671,0.0,8.0,17.0,518.0,575.0,733.0,0,5,0,6,0,0,0,usable
A020,13248,0,0.0,10,0.0007548309178743961,1587,669.3500905797101,702.0,433.9243560998041,0.0,30.0,53.0,1330.0,1519.5300000000007,2360.0,0,4,0,4,0,0,0,usable
A067,13248,0,0.0,10,0.0007548309178743961,599,211.18131038647343,222.5,140.36279989874163,0.0,7.0,15.0,441.0,533.5300000000007,679.0,0,3,0,8,0,0,0,usable
A011,13248,0,0.0,9,0.0006793478260869565,526,238.05638586956522,264.0,129.06629719730984,0.0,16.0,31.0,416.0,471.53000000000065,579.0,0,9,0,1,1,0,0,usable
A012,13248,0,0.0,9,0.0006793478260869565,765,311.8556008454106,299.0,208.8248355431903,0.0,15.0,28.0,627.0,697.5300000000007,844.0,0,9,0,1,1,0,0,usable
A096,13248,0,0.0,9,0.0006793478260869565,358,141.39794685990339,122.0,102.29270374241601,0.0,6.0,11.0,301.0,327.0,388.0,0,9,0,1,1,0,0,usable
A131,13248,0,0.0,9,0.0006793478260869565,371,158.54838466183574,172.0,103.46269934943624,0.0,7.0,12.0,313.0,342.0,420.0,0,8,0,2,1,0,0,usable
A033,13248,0,0.0,9,0.0006793478260869565,735,325.26781400966183,339.0,204.31278627870157,0.0,14.0,28.0,616.0,666.0,814.0,0,3,0,4,0,0,0,usable
A063,13248,0,0.0,9,0.0006793478260869565,332,114.17572463768116,108.0,84.22351113175239,0.0,3.0,6.0,243.0,275.0,352.0,0,1,0,9,0,0,0,usable
A089,13248,0,0.0,8,0.0006038647342995169,224,95.42746074879227,106.0,54.15417983509775,0.0,5.0,11.0,169.0,191.0,242.0,0,2,0,7,0,0,0,usable
A103,13248,0,0.0,8,0.0006038647342995169,281,102.55193236714976,110.0,62.514994816647366,0.0,4.0,8.0,192.64999999999964,234.0,300.0,0,2,0,7,0,0,0,usable
A022,13248,0,0.0,7,0.0005283816425120773,579,238.10567632850243,244.5,153.27360083426058,0.0,10.0,20.0,453.0,505.0,1146.0,0,6,0,2,1,0,0,usable
A039,13248,0,0.0,7,0.0005283816425120773,104,44.24230072463768,48.0,23.430950734108364,0.0,2.0,6.0,76.0,85.0,108.0,0,1,0,7,0,0,0,usable
A169,13248,0,0.0,7,0.0005283816425120773,228,90.64658816425121,88.0,61.243683812773185,0.0,4.0,8.0,184.0,201.0,235.0,0,1,0,7,0,0,0,usable
A177,13248,0,0.0,7,0.0005283816425120773,473,147.9543327294686,134.0,149.35059832739864,0.0,4.0,9.0,322.0,384.0,2586.0,0,1,0,7,0,0,0,usable
A045,13248,0,0.0,6,0.0004528985507246377,827,343.5899758454106,365.0,217.2308238389667,0.0,17.47,33.0,640.0,729.0,2767.0,0,6,0,1,1,0,0,usable
A017,13248,0,0.0,6,0.0004528985507246377,574,237.27792874396135,242.5,155.08176144837134,0.0,7.0,16.0,461.0,506.0,920.0,0,1,0,6,0,0,0,usable
A021,13248,0,0.0,6,0.0004528985507246377,484,178.69482185990339,172.0,127.78036540645056,0.0,4.0,11.0,391.0,433.0,748.0,0,1,0,6,0,0,0,usable
A136,13248,0,0.0,5,0.00037741545893719806,176,68.73452596618357,64.0,46.13960269773117,0.0,3.0,6.0,138.0,151.53000000000065,212.0,0,1,0,5,0,0,0,usable
A038,13248,0,0.0,4,0.00030193236714975844,863,304.85839371980677,294.0,209.64867036132026,0.0,9.0,21.350000000000023,674.0,789.5300000000007,1066.0,0,1,0,4,0,0,0,usable
A040,13248,0,0.0,4,0.00030193236714975844,476,179.5594806763285,183.0,116.53043109017999,0.0,6.0,15.0,367.0,411.0,908.0,0,1,0,4,0,0,0,usable
